Recipient,Category,Grant,FY14
Stamford,Education,Interdistrict Cooperation,58536
Stamford,Education,Child Nutrition State Match,60146
Stamford,Education,School Construction,1590237.53
Stamford,Education,School Breakfast,66135
Stamford,Education,After School Program,329679
Stamford,Education,Magnet Schools,5921232
Stamford,Education,Bilingual Education,158219
Stamford,Education,Excess Cost- Student Based,4445657
Stamford,Education,Education Cost Sharing,9780601
Stamford,Education,Public School Transportation,78927
Stamford,Education,Nonpublic School Transportation,52488
Stamford,Education,Priority School Districts,2800538
Stamford,Education,Extended School Hours,292510
Stamford,Education,School Accountability- Summer School,339324
Stamford,Education,Youth Service Bureaus,70657
Stamford,Education,Adult Education,321116
Stamford,Education,Vocational Agriculture,251699
Stamford,Education,Child Care Services,1018316.61
Stamford,Property Tax,Colleges &amp; Hospitals PILOT,1747011.14
Stamford,Property Tax,Elderly Circuit Breaker,383777.7
Stamford,Property Tax,State Property PILOT,1217777.73
Stamford,Property Tax,Veterans' Exemption,25929.75
Stamford,Property Tax,Disability Exemption,2674.77
Stamford,Property Tax,Pequot Grants,921041.17
Stamford,Property Tax,Elderly Freeze,5000
Stamford,Property Tax,DECD Tax Abatement,361905
Stamford,Property Tax,DECD PILOT Grant,254421
Stamford,Property Tax,Grants For Municipal Projects,391381
Stamford,Capital Projects/Transportation,LoCIP,812613
Stamford,Capital Projects/Transportation,Town Aid Road,1196828.38
Stamford,Capital Projects/Transportation,Distressed Municipalities,1582440.51
Stamford,Capital Projects/Transportation,Urban Action Grants,0
Stamford,Capital Projects/Transportation,Bus Operations,49151
Stamford,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,536164
Stamford,Public Health/Social Services,Local and District Departments of Health,146164.24
Stamford,Public Health/Social Services,Community Services,6438
Portland,Education,Interdistrict Cooperation,28989
Portland,Education,Child Nutrition State Match,4137
Portland,Education,OPEN Choice,126493
Portland,Education,School Breakfast,2740
Portland,Education,Excess Cost- Student Based,197934
Portland,Education,Education Cost Sharing,4374577
Portland,Education,Public School Transportation,58335
Portland,Education,Youth Service Bureaus,18937
Portland,Education,Adult Education,12154
Portland,Public Health/Social Services,Healthy Foods Initiative,8468
Portland,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),363000
Portland,Capital Projects/Transportation,LoCIP,65305
Portland,Capital Projects/Transportation,Town Aid Road,240795.23
Portland,Capital Projects/Transportation,Urban Action Grants,0
