FISCAL_YEAR,VENDOR_NAME,AGENCY_DESCRIPTION,GRANT_DESCRIPTION,MONETARY_AMOUNT
2015,TOWN OF PLAINFIELD  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$6473.23
2015,BOROUGH OF GROTON LONG POINT  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$10.79
2015,BOROUGH OF JEWETT CITY  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$271.08
2015,BOROUGH OF STONINGTON  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$72.02
2015,CITY OF ANSONIA TOWN TREASURER,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$27395.64
2015,CITY OF BRIDGEPORT  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$31703.26
2015,CITY OF BRISTOL  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$30932.76
2015,CITY OF DANBURY  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$23983.91
2015,CITY OF DERBY  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$23622.48
2015,CITY OF GROTON  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$781.29
2015,CITY OF HARTFORD  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$55360.33
2015,CITY OF MILFORD  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$149981.23
2015,CITY OF NEW HAVEN  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$54310.53
2015,CITY OF NORWICH  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$27291.18
2015,CITY OF STAMFORD  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$60209.07
2015,FARMINGTON TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$5284.98
2015,MANSFIELD TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$6626.00
2015,MERIDEN TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$59289.81
2015,NAUGATUCK TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$38157.12
2015,NEW BRITAIN CITY TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$31362.53
2015,NEW CANAAN TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$1380.35
2015,NEW FAIRFIELD TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$16292.90
2015,NEWINGTON TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$30385.24
2015,NEWTOWN TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$15992.89
2015,NORTH BRANFORD TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$13973.05
2015,NORTH HAVEN TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$32137.73
2015,NORWALK TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$4248.59
2015,ORANGE TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$4372.91
2015,OXFORD TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$6146.25
2015,PROSPECT TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$18924.67
2015,PUTNAM TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$3062.88
2015,RIDGEFIELD TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$1635.48
2015,SALEM TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$1645.26
2015,SEYMOUR TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$18154.52
2015,STRATFORD TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$138825.97
2015,SUFFIELD TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$9062.11
2015,THOMASTON TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$10537.77
2015,THOMPSON TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$18519.12
2015,TOLLAND TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$7674.44
2015,TORRINGTON TOWN TREASURER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$31532.37
2015,TOWN OF ANDOVER TOWN TREASURER,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$1139.69
2015,TOWN OF ASHFORD  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$1466.63
2015,TOWN OF AVON  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$4714.66
2015,TOWN OF BARKHAMSTED  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$2397.37
2015,TOWN OF BEACON FALLS  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$12544.81
2015,TOWN OF BERLIN  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$11534.55
2015,TOWN OF BETHANY TOWN TREASURER,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$6358.02
2015,TOWN OF BETHEL  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$10134.51
2015,TOWN OF BETHLEHEM TOWN TREASURER,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$3383.94
2015,TOWN OF BLOOMFIELD  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$9977.05
2015,TOWN OF BOLTON  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$5219.78
2015,TOWN OF BOZRAH  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$1136.24
2015,TOWN OF BRANFORD  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$26456.03
2015,TOWN OF BRIDGEWATER  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$2264.76
2015,TOWN OF BROOKFIELD  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$9427.82
2015,TOWN OF BROOKLYN  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$4233.77
2015,TOWN OF BURLINGTON  ,Office of Policy & Management,State Aid Grants ~ Prop Tax Relief For Veterans ~ Tax Relief,$1747.71
