Town Code,Town Name,Grant Name,Grant Year,Grant Amount
1,Andover,TOTALLY DISABLED,2010,$331.20
1,Andover,ELDERLY HOMEOWNERS,2012,"$14,132.07"
1,Andover,TOTALLY DISABLED,2013,$355.81
1,Andover,MFG. MACH. & EQUIP / COMML M.V.,2011,"$2,929.30"
1,Andover,ELDERLY HOMEOWNERS,2011,"$14,767.91"
1,Andover,TOTALLY DISABLED,2012,$386.40
1,Andover,ELDERLY HOMEOWNERS,2010,"$13,406.86"
1,Andover,TOTALLY DISABLED,2014,$433.77
1,Andover,ADDITIONAL VETS,2010,"$1,271.17"
1,Andover,ELDERLY HOMEOWNERS,2014,"$12,524.24"
1,Andover,TOTALLY DISABLED,2011,$358.80
1,Andover,ADDITIONAL VETS,2012,"$1,320.09"
1,Andover,ADDITIONAL VETS,2011,$914.94
1,Andover,MASHANTUCKET PEQUOT &  MOHEGAN,2014,"$14,230.32"
1,Andover,STATE-OWNED PILOT,2014,"$18,766.88"
1,Andover,STATE-OWNED PILOT,2010,"$26,498.55"
1,Andover,MASHANTUCKET PEQUOT &  MOHEGAN,2010,"$14,592.06"
1,Andover,ELECTRIC GENERATION FACILITIES GRANT,2010,$0.00
1,Andover,COLLEGES & HOSPITALS PILOT,2010,$0.00
1,Andover,MFG. MACH. & EQUIP / COMML M.V.,2010,"$4,123.18"
1,Andover,ELDERLY HOMEOWNERS,2013,"$13,242.60"
1,Andover,STATE-OWNED PILOT,2013,"$21,124.18"
1,Andover,STATE-OWNED PILOT,2011,"$24,956.52"
1,Andover,MASHANTUCKET PEQUOT &  MOHEGAN,2013,"$14,891.83"
1,Andover,ELECTRIC GENERATION FACILITIES GRANT,2012,$0.00
1,Andover,MASHANTUCKET PEQUOT &  MOHEGAN,2012,"$14,629.15"
1,Andover,STATE-OWNED PILOT,2012,"$22,292.75"
1,Andover,ADDITIONAL VETS,2013,"$1,267.89"
1,Andover,ELECTRIC GENERATION FACILITIES GRANT,2011,$0.00
1,Andover,MASHANTUCKET PEQUOT &  MOHEGAN,2011,"$14,184.19"
1,Andover,COLLEGES & HOSPITALS PILOT,2011,$0.00
2,Ansonia,TOTALLY DISABLED,2010,"$1,893.25"
2,Ansonia,ELDERLY HOMEOWNERS,2012,"$141,961.75"
2,Ansonia,TOTALLY DISABLED,2013,"$2,070.66"
2,Ansonia,MFG. MACH. & EQUIP / COMML M.V.,2011,"$70,731.98"
2,Ansonia,ELDERLY HOMEOWNERS,2011,"$131,596.13"
2,Ansonia,DISTRESSED,2010,"$10,067.96"
2,Ansonia,ELDERLY TAX FREEZE,2010,"$10,000.00"
2,Ansonia,ELDERLY TAX FREEZE,2012,"$2,000.00"
2,Ansonia,TOTALLY DISABLED,2012,"$1,955.37"
2,Ansonia,ELDERLY HOMEOWNERS,2010,"$141,821.21"
2,Ansonia,TOTALLY DISABLED,2014,"$2,952.43"
2,Ansonia,ADDITIONAL VETS,2010,"$11,559.20"
2,Ansonia,ELDERLY HOMEOWNERS,2014,"$138,882.74"
2,Ansonia,TOTALLY DISABLED,2011,"$1,850.40"
2,Ansonia,ELDERLY TAX FREEZE,2014,"$2,000.00"
2,Ansonia,ADDITIONAL VETS,2012,"$13,321.69"
2,Ansonia,ADDITIONAL VETS,2011,"$10,303.94"
2,Ansonia,MASHANTUCKET PEQUOT &  MOHEGAN,2014,"$164,987.68"
2,Ansonia,ELDERLY TAX FREEZE,2011,"$10,000.00"
2,Ansonia,STATE-OWNED PILOT,2014,"$94,496.74"
2,Ansonia,STATE-OWNED PILOT,2010,"$108,217.62"
2,Ansonia,MASHANTUCKET PEQUOT &  MOHEGAN,2010,"$135,316.41"
2,Ansonia,ELECTRIC GENERATION FACILITIES GRANT,2010,$0.00
2,Ansonia,COLLEGES & HOSPITALS PILOT,2010,$0.00
2,Ansonia,MFG. MACH. & EQUIP / COMML M.V.,2010,"$67,691.74"
2,Ansonia,ELDERLY HOMEOWNERS,2013,"$131,238.60"
2,Ansonia,STATE-OWNED PILOT,2013,"$96,030.41"
2,Ansonia,DISTRESSED,2012,"$2,149.28"
2,Ansonia,STATE-OWNED PILOT,2011,"$100,811.99"
2,Ansonia,MASHANTUCKET PEQUOT &  MOHEGAN,2013,"$174,859.89"
2,Ansonia,ELDERLY TAX FREEZE,2013,"$2,000.00"
2,Ansonia,ELECTRIC GENERATION FACILITIES GRANT,2012,$0.00
2,Ansonia,DISTRESSED,2013,"$2,119.75"
2,Ansonia,MASHANTUCKET PEQUOT &  MOHEGAN,2012,"$164,836.26"
2,Ansonia,STATE-OWNED PILOT,2012,"$98,287.73"
2,Ansonia,ADDITIONAL VETS,2013,"$14,496.47"
2,Ansonia,ELECTRIC GENERATION FACILITIES GRANT,2011,$0.00
2,Ansonia,MASHANTUCKET PEQUOT &  MOHEGAN,2011,"$138,324.70"
2,Ansonia,COLLEGES & HOSPITALS PILOT,2011,$0.00
