"Town","FIPS","Year","Indicator","Measure Type","Variable","Value"
"Bridgeport","0900108070",2005,"Referrals","Number","Birth to Three Indicators",319
"Bridgeport","0900108070",2006,"Referrals","Number","Birth to Three Indicators",387
"Bridgeport","0900108070",2007,"Referrals","Number","Birth to Three Indicators",385
"Bridgeport","0900108070",2008,"Referrals","Number","Birth to Three Indicators",420
"Bridgeport","0900108070",2009,"Referrals","Number","Birth to Three Indicators",428
"Bridgeport","0900108070",2010,"Referrals","Number","Birth to Three Indicators",380
"Bridgeport","0900108070",2011,"Referrals","Number","Birth to Three Indicators",420
"Bridgeport","0900108070",2012,"Referrals","Number","Birth to Three Indicators",399
"Hartford","0900337070",2005,"Referrals","Number","Birth to Three Indicators",451
"Hartford","0900337070",2006,"Referrals","Number","Birth to Three Indicators",484
"Hartford","0900337070",2007,"Referrals","Number","Birth to Three Indicators",456
"Hartford","0900337070",2008,"Referrals","Number","Birth to Three Indicators",495
"Hartford","0900337070",2009,"Referrals","Number","Birth to Three Indicators",512
"Hartford","0900337070",2010,"Referrals","Number","Birth to Three Indicators",481
"Hartford","0900337070",2011,"Referrals","Number","Birth to Three Indicators",428
"Hartford","0900337070",2012,"Referrals","Number","Birth to Three Indicators",438
"New Haven","0900952070",2005,"Referrals","Number","Birth to Three Indicators",342
"New Haven","0900952070",2006,"Referrals","Number","Birth to Three Indicators",381
"New Haven","0900952070",2007,"Referrals","Number","Birth to Three Indicators",360
"New Haven","0900952070",2008,"Referrals","Number","Birth to Three Indicators",365
"New Haven","0900952070",2009,"Referrals","Number","Birth to Three Indicators",378
"New Haven","0900952070",2010,"Referrals","Number","Birth to Three Indicators",369
"New Haven","0900952070",2011,"Referrals","Number","Birth to Three Indicators",362
"New Haven","0900952070",2012,"Referrals","Number","Birth to Three Indicators",380
"Stamford","0900173070",2005,"Referrals","Number","Birth to Three Indicators",266
"Stamford","0900173070",2006,"Referrals","Number","Birth to Three Indicators",286
"Stamford","0900173070",2007,"Referrals","Number","Birth to Three Indicators",301
"Stamford","0900173070",2008,"Referrals","Number","Birth to Three Indicators",311
"Stamford","0900173070",2009,"Referrals","Number","Birth to Three Indicators",368
"Stamford","0900173070",2010,"Referrals","Number","Birth to Three Indicators",314
"Stamford","0900173070",2011,"Referrals","Number","Birth to Three Indicators",277
"Stamford","0900173070",2012,"Referrals","Number","Birth to Three Indicators",307
"Waterbury","0900980070",2005,"Referrals","Number","Birth to Three Indicators",263
"Waterbury","0900980070",2006,"Referrals","Number","Birth to Three Indicators",345
"Waterbury","0900980070",2007,"Referrals","Number","Birth to Three Indicators",357
"Waterbury","0900980070",2008,"Referrals","Number","Birth to Three Indicators",358
"Waterbury","0900980070",2009,"Referrals","Number","Birth to Three Indicators",336
"Waterbury","0900980070",2010,"Referrals","Number","Birth to Three Indicators",334
"Waterbury","0900980070",2011,"Referrals","Number","Birth to Three Indicators",346
"Waterbury","0900980070",2012,"Referrals","Number","Birth to Three Indicators",336
