"Town","FIPS","Indicator","Measure Type","Variable","2005","2006","2007","2008","2009","2010","2011","2012"
"Ansonia","0900901220","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",94.12,95,95.65,100,100,92.86,86.36,90.32
"Ansonia","0900901220","Evaluated that are Eligible","Percent","Birth to Three Indicators",48.57,64.52,69.7,70.97,66.67,82.35,62.86,77.5
"Ansonia","0900901220","Evaluations","Number","Birth to Three Indicators",35,31,33,31,33,34,35,40
"Ansonia","0900901220","Evaluations","Percent","Birth to Three Indicators",14.77,12.35,13.41,13.6,14.73,13.44,18.62,18.18
"Ansonia","0900901220","IFSP Receiving Services","Percent","Birth to Three Indicators",93.75,89.47,90.91,100,100,96.15,100,100
"Ansonia","0900901220","Individualized Family Service Plans","Number","Birth to Three Indicators",16,19,22,22,22,26,19,28
"Ansonia","0900901220","Individualized Family Service Plans","Percent","Birth to Three Indicators",6.75,7.57,8.94,9.65,9.82,10.28,10.11,12.73
"Ansonia","0900901220","Referrals","Number","Birth to Three Indicators",42,32,35,32,34,38,38,41
"Ansonia","0900901220","Referrals","Percent","Birth to Three Indicators",17.72,12.75,14.23,14.04,15.18,15.02,20.21,18.64
"Ansonia","0900901220","Referred that are Evaluated","Percent","Birth to Three Indicators",83.33,96.88,94.29,96.88,97.06,89.47,92.11,97.56
"Ansonia","0900901220","Total Eligible","Number","Birth to Three Indicators",17,20,23,22,22,28,22,31
"Ansonia","0900901220","Total Eligible","Percent","Birth to Three Indicators",7.17,7.97,9.35,9.65,9.82,11.07,11.7,14.09
"Ansonia","0900901220","Total Served","Number","Birth to Three Indicators",15,17,20,22,22,25,19,28
"Ansonia","0900901220","Total Served","Percent","Birth to Three Indicators",6.33,6.77,8.13,9.65,9.82,9.88,10.11,12.73
"Avon","0900302060","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,93.33,95.65,88.24,88.89,93.75,86.67,70.59
"Avon","0900302060","Evaluated that are Eligible","Percent","Birth to Three Indicators",48,78.95,71.88,56.67,78.26,64,55.56,70.83
"Avon","0900302060","Evaluations","Number","Birth to Three Indicators",25,19,32,30,23,25,27,24
"Avon","0900302060","Evaluations","Percent","Birth to Three Indicators",16.67,12.34,25,23.26,18.4,20.66,24.32,19.67
"Avon","0900302060","IFSP Receiving Services","Percent","Birth to Three Indicators",91.67,100,100,100,93.75,100,100,100
"Avon","0900302060","Individualized Family Service Plans","Number","Birth to Three Indicators",12,14,22,15,16,15,13,12
"Avon","0900302060","Individualized Family Service Plans","Percent","Birth to Three Indicators",8,9.09,17.19,11.63,12.8,12.4,11.71,9.84
