"Town","FIPS","Indicator","Measure Type","Variable","Year","Value"
"Ansonia","0900901220","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",94.12
"Ansonia","0900901220","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",48.57
"Ansonia","0900901220","Evaluations","Number","Birth to Three Indicators","2005",35
"Ansonia","0900901220","Evaluations","Percent","Birth to Three Indicators","2005",14.77
"Ansonia","0900901220","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",93.75
"Ansonia","0900901220","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",16
"Ansonia","0900901220","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",6.75
"Ansonia","0900901220","Referrals","Number","Birth to Three Indicators","2005",42
"Ansonia","0900901220","Referrals","Percent","Birth to Three Indicators","2005",17.72
"Ansonia","0900901220","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",83.33
"Ansonia","0900901220","Total Eligible","Number","Birth to Three Indicators","2005",17
"Ansonia","0900901220","Total Eligible","Percent","Birth to Three Indicators","2005",7.17
"Ansonia","0900901220","Total Served","Number","Birth to Three Indicators","2005",15
"Ansonia","0900901220","Total Served","Percent","Birth to Three Indicators","2005",6.33
"Avon","0900302060","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"Avon","0900302060","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",48
"Avon","0900302060","Evaluations","Number","Birth to Three Indicators","2005",25
"Avon","0900302060","Evaluations","Percent","Birth to Three Indicators","2005",16.67
"Avon","0900302060","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",91.67
"Avon","0900302060","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",12
"Avon","0900302060","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",8
"Avon","0900302060","Referrals","Number","Birth to Three Indicators","2005",27
"Avon","0900302060","Referrals","Percent","Birth to Three Indicators","2005",18
"Avon","0900302060","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",92.59
"Avon","0900302060","Total Eligible","Number","Birth to Three Indicators","2005",12
"Avon","0900302060","Total Eligible","Percent","Birth to Three Indicators","2005",8
"Avon","0900302060","Total Served","Number","Birth to Three Indicators","2005",11
"Avon","0900302060","Total Served","Percent","Birth to Three Indicators","2005",7.33
"Beacon Falls","0900903250","Evaluations","Number","Birth to Three Indicators","2005",9
"Beacon Falls","0900903250","Evaluations","Percent","Birth to Three Indicators","2005",13.24
"Beacon Falls","0900903250","Referrals","Number","Birth to Three Indicators","2005",9
"Beacon Falls","0900903250","Referrals","Percent","Birth to Three Indicators","2005",13.24
"Beacon Falls","0900903250","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",100
"Berlin","0900304300","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",59.09
"Berlin","0900304300","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"Berlin","0900304300","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",66.67
"Berlin","0900304300","Evaluations","Number","Birth to Three Indicators","2005",33
"Berlin","0900304300","Evaluations","Percent","Birth to Three Indicators","2005",17.1
"Berlin","0900304300","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",13
"Berlin","0900304300","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",6.74
"Berlin","0900304300","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",100
"Berlin","0900304300","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",22
"Berlin","0900304300","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",11.4
"Berlin","0900304300","Referrals","Number","Birth to Three Indicators","2005",37
"Berlin","0900304300","Referrals","Percent","Birth to Three Indicators","2005",19.17
"Berlin","0900304300","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",89.19
"Berlin","0900304300","Total Eligible","Number","Birth to Three Indicators","2005",22
"Berlin","0900304300","Total Eligible","Percent","Birth to Three Indicators","2005",11.4
