"Municipality","Planning Region","Municipality Type","Equalized Net Grand List ($000s per capita)","Municipal Capacity ($ per capita)","Unemployment Rate (%)","Population Density (000s per square mile)","Private-Sector Wage Index (%)","Town Maintenance Road Mileage (per 000 population)","Total Jobs (per capita)","Municipal Cost ($ per capita)","Municipal Gap($ per capita)","State Nonschool Grants ($ per capita)","Percentage of Municipal Gap Filled by State Nonschool Grants","MunicipalGap Net of StateNonschool Grants($ per capita)"
"Andover","Capitol Region","Below-Average-Property Rural","124","1123","5.4","0.2","96.58","10.77","0.12","1139",-16,"60","380","-44"
"Ansonia","Naugatuck Valley","Urban Periphery","79","714","11.5","3.18","108.89","3.14","0.2","1448",-734,"43","6","691"
"Ashford","Northeast CT","Below-Average-Property Rural","108","973","9.4","0.11","95.96","15.71","0.12","1264",-291,"61","21","231"
"Avon","Capitol Region","Suburban","205","1848","5.6","0.79","98.81","5.8","0.44","1217",631,"38","-6","-669"
"Barkhamsted","Northwest Hills","Below-Average-Property Rural","144","1305","6.6","0.1","95.77","12.71","0.29","1210",95,"60","-64","-155"
"Beacon Falls","Naugatuck Valley","Below-Average-Property Rural","120","1087","8.2","0.62","90.79","4.55","0.15","1151",-65,"50","77","15"
"Berlin","Capitol Region","Suburban","165","1493","7.5","0.77","98.9","5.34","0.56","1286",207,"59","-29","-267"
"Bethany","South Central","Suburban","159","1434","9.6","0.26","94.79","10.9","0.19","1251",183,"59","-32","-243"
"Bethel","Western CT","Suburban","152","1374","9.6","1.12","96.43","4.63","0.37","1289",85,"40","-47","-125"
"Bethlehem","Naugatuck Valley","Suburban","160","1447","8.3","0.19","87.78","12.69","0.2","1182",265,"55","-21","-320"
"Bloomfield","Capitol Region","Urban Periphery","147","1329","12.1","0.79","101","4.99","0.9","1488",-159,"118","74","41"
"Bolton","Capitol Region","Suburban","136","1225","6.6","0.35","97.03","8.71","0.23","1189",36,"55","-152","-91"
"Bozrah","Southeastern CT","Below-Average-Property Rural","141","1275","6.9","0.13","94.31","13.41","0.37","1231",44,"106","-240","-150"
"Branford","South Central","Urban Periphery","180","1625","10.2","1.28","94.28","3.72","0.44","1305",319,"42","-13","-362"
"Bridgeport","Greater Bridgeport","Urban Core","69","620","15.7","9.11","110.41","1.78","0.29","1788",-1168,"156","13","1013"
