"Reason","2013-2014","2014-2015","2015-2016"
"Administrative Offense","0%","0%","1.78%"
"Cell Phone","9.05%","10.46%","9.55%"
"Defective Lights","8.99%","8.45%","8.52%"
"Display of Plates","2.95%","2.62%","2.49%"
"Equipment Violation","0.35%","0.29%","0.26%"
"Moving Violation","7.53%","7.31%","8.31%"
"Other","15.97%","16.96%","4.1%"
"Registration","9.36%","9.46%","9.14%"
"Seatbelt","4.11%","3.7%","3.86%"
"Speed Related","26.82%","25.95%","28.33%"
"STC Violation","0%","0%","8.39%"
"Stop Sign","5.81%","5.8%","6.76%"
"Suspended License","1.33%","1.4%","0%"
"Traffic Control Signal","6.76%","6.72%","6.87%"
"Unlicensed Operation","0%","0%","0.54%"
"Window Tint","0.98%","0.89%","1.1%"
