"Town","FIPS","Year","Grant","Value"
"Bethel","0900104720",2014,"Colleges & Hospitals PILOT",15782.82
"Bethel","0900104720",2014,"Elderly Circuit Breaker",125430.36
"Bethel","0900104720",2014,"State Property PILOT",25209.82
"Bethel","0900104720",2014,"Veterans' Exemption",10069.46
"Bethel","0900104720",2014,"Disability Exemption",2248.04
"Bethel","0900104720",2014,"Pequot Grants",46704.29
"Bethel","0900104720",2014,"Elderly Freeze",0
"Bethel","0900104720",2014,"DECD Tax Abatement",30535
"Bethel","0900104720",2014,"DECD PILOT Grant",0
"Bethel","0900104720",2014,"LoCIP",119373
"Bethel","0900104720",2014,"Town Aid Road",315941.86
"Bethel","0900104720",2015,"Colleges & Hospitals PILOT",16550.6
"Bethel","0900104720",2015,"Elderly Circuit Breaker",119313.99
"Bethel","0900104720",2015,"State Property PILOT",36006.92
"Bethel","0900104720",2015,"Veterans' Exemption",10134.51
"Bethel","0900104720",2015,"Disability Exemption",2272.04
"Bethel","0900104720",2015,"Pequot Grants",51561.06
"Bethel","0900104720",2015,"Elderly Freeze",0
"Bethel","0900104720",2015,"DECD Tax Abatement",37013
"Bethel","0900104720",2015,"DECD PILOT Grant",0
"Bethel","0900104720",2015,"LoCIP",118708
"Bethel","0900104720",2015,"Town Aid Road",318762
"Bethel","0900104720",2014,"Total",691294.65
"Bethel","0900104720",2015,"Total",710322.12
"Bridgeport","0900108070",2014,"Colleges & Hospitals PILOT",7563747.43
"Bridgeport","0900108070",2014,"Elderly Circuit Breaker",711591.52
"Bridgeport","0900108070",2014,"State Property PILOT",2754073.7
"Bridgeport","0900108070",2014,"Veterans' Exemption",33195.87
"Bridgeport","0900108070",2014,"Disability Exemption",16935.55
"Bridgeport","0900108070",2014,"Pequot Grants",6160636.53
"Bridgeport","0900108070",2014,"Elderly Freeze",10000
"Bridgeport","0900108070",2014,"DECD Tax Abatement",124635
"Bridgeport","0900108070",2014,"DECD PILOT Grant",0
"Bridgeport","0900108070",2014,"LoCIP",2271379
"Bridgeport","0900108070",2014,"Town Aid Road",1379983.18
"Bridgeport","0900108070",2015,"Colleges & Hospitals PILOT",7962793.95
"Bridgeport","0900108070",2015,"Elderly Circuit Breaker",739199.19
"Bridgeport","0900108070",2015,"State Property PILOT",3012598.46
"Bridgeport","0900108070",2015,"Veterans' Exemption",31703.26
"Bridgeport","0900108070",2015,"Disability Exemption",16291.48
"Bridgeport","0900108070",2015,"Pequot Grants",6196581.13
"Bridgeport","0900108070",2015,"Elderly Freeze",8000
"Bridgeport","0900108070",2015,"DECD Tax Abatement",29641
"Bridgeport","0900108070",2015,"DECD PILOT Grant",0
"Bridgeport","0900108070",2015,"LoCIP",2413992
"Bridgeport","0900108070",2015,"Town Aid Road",1383106
"Bridgeport","0900108070",2014,"Total",21026177.78
"Bridgeport","0900108070",2015,"Total",21793906.47
"Brookfield","0900108980",2014,"Colleges & Hospitals PILOT",0
"Brookfield","0900108980",2014,"Elderly Circuit Breaker",100102.14
"Brookfield","0900108980",2014,"State Property PILOT",27360.26
"Brookfield","0900108980",2014,"Veterans' Exemption",8613.21
"Brookfield","0900108980",2014,"Disability Exemption",1521.78
"Brookfield","0900108980",2014,"Pequot Grants",22495.23
"Brookfield","0900108980",2014,"Elderly Freeze",0
"Brookfield","0900108980",2014,"DECD Tax Abatement",0
"Brookfield","0900108980",2014,"DECD PILOT Grant",0
"Brookfield","0900108980",2014,"LoCIP",103819
"Brookfield","0900108980",2014,"Town Aid Road",302816.14
"Brookfield","0900108980",2015,"Colleges & Hospitals PILOT",0
"Brookfield","0900108980",2015,"Elderly Circuit Breaker",93610.41
"Brookfield","0900108980",2015,"State Property PILOT",30458.56
"Brookfield","0900108980",2015,"Veterans' Exemption",9427.82
"Brookfield","0900108980",2015,"Disability Exemption",1418.83
"Brookfield","0900108980",2015,"Pequot Grants",24761.49
"Brookfield","0900108980",2015,"Elderly Freeze",0
"Brookfield","0900108980",2015,"DECD Tax Abatement",0
"Brookfield","0900108980",2015,"DECD PILOT Grant",0
"Brookfield","0900108980",2015,"LoCIP",103800
"Brookfield","0900108980",2015,"Town Aid Road",303840
"Brookfield","0900108980",2014,"Total",566727.76
"Brookfield","0900108980",2015,"Total",567317.11
"Danbury","0900118500",2014,"Colleges & Hospitals PILOT",1305854.61
"Danbury","0900118500",2014,"Elderly Circuit Breaker",349200.41
"Danbury","0900118500",2014,"State Property PILOT",2127391.32
"Danbury","0900118500",2014,"Veterans' Exemption",22815.84
"Danbury","0900118500",2014,"Disability Exemption",4473.98
"Danbury","0900118500",2014,"Pequot Grants",945549.43
"Danbury","0900118500",2014,"Elderly Freeze",2000
"Danbury","0900118500",2014,"DECD Tax Abatement",8393
"Danbury","0900118500",2014,"DECD PILOT Grant",138553
"Danbury","0900118500",2014,"LoCIP",545776
"Danbury","0900118500",2014,"Town Aid Road",847951.39
"Danbury","0900118500",2015,"Colleges & Hospitals PILOT",1344343.21
"Danbury","0900118500",2015,"Elderly Circuit Breaker",369888.68
"Danbury","0900118500",2015,"State Property PILOT",2413997.4
"Danbury","0900118500",2015,"Veterans' Exemption",23983.91
"Danbury","0900118500",2015,"Disability Exemption",4751.99
"Danbury","0900118500",2015,"Pequot Grants",951066.29
"Danbury","0900118500",2015,"Elderly Freeze",0
"Danbury","0900118500",2015,"DECD Tax Abatement",0
"Danbury","0900118500",2015,"DECD PILOT Grant",140991
"Danbury","0900118500",2015,"LoCIP",557492
"Danbury","0900118500",2015,"Town Aid Road",855534
"Danbury","0900118500",2014,"Total",6297958.98
"Danbury","0900118500",2015,"Total",6662048.48
"Darien","0900118850",2014,"Colleges & Hospitals PILOT",0
"Darien","0900118850",2014,"Elderly Circuit Breaker",69585.44
"Darien","0900118850",2014,"State Property PILOT",97209.14
"Darien","0900118850",2014,"Veterans' Exemption",2190.93
"Darien","0900118850",2014,"Disability Exemption",185.66
"Darien","0900118850",2014,"Pequot Grants",7521
"Darien","0900118850",2014,"Elderly Freeze",0
"Darien","0900118850",2014,"DECD Tax Abatement",0
"Darien","0900118850",2014,"DECD PILOT Grant",0
"Darien","0900118850",2014,"LoCIP",110587
"Darien","0900118850",2014,"Town Aid Road",334138.43
"Darien","0900118850",2015,"Colleges & Hospitals PILOT",0
"Darien","0900118850",2015,"Elderly Circuit Breaker",64449.48
"Darien","0900118850",2015,"State Property PILOT",108593.96
"Darien","0900118850",2015,"Veterans' Exemption",1920.3
"Darien","0900118850",2015,"Disability Exemption",217.5
"Darien","0900118850",2015,"Pequot Grants",9582.02
"Darien","0900118850",2015,"Elderly Freeze",0
"Darien","0900118850",2015,"DECD Tax Abatement",0
"Darien","0900118850",2015,"DECD PILOT Grant",0
"Darien","0900118850",2015,"LoCIP",111194
"Darien","0900118850",2015,"Town Aid Road",335085
"Darien","0900118850",2014,"Total",621417.6
"Darien","0900118850",2015,"Total",631042.26
"Easton","0900123890",2014,"Colleges & Hospitals PILOT",0
"Easton","0900123890",2014,"Elderly Circuit Breaker",34162.74
"Easton","0900123890",2014,"State Property PILOT",58715.81
"Easton","0900123890",2014,"Veterans' Exemption",7955.73
"Easton","0900123890",2014,"Disability Exemption",103.27
"Easton","0900123890",2014,"Pequot Grants",8567.91
"Easton","0900123890",2014,"Elderly Freeze",0
"Easton","0900123890",2014,"DECD Tax Abatement",0
"Easton","0900123890",2014,"DECD PILOT Grant",0
"Easton","0900123890",2014,"LoCIP",66778
"Easton","0900123890",2014,"Town Aid Road",227623.27
"Easton","0900123890",2015,"Colleges & Hospitals PILOT",0
"Easton","0900123890",2015,"Elderly Circuit Breaker",31555.28
"Easton","0900123890",2015,"State Property PILOT",63586.24
"Easton","0900123890",2015,"Veterans' Exemption",7620.25
"Easton","0900123890",2015,"Disability Exemption",101.94
"Easton","0900123890",2015,"Pequot Grants",10636.14
"Easton","0900123890",2015,"Elderly Freeze",0
"Easton","0900123890",2015,"DECD Tax Abatement",0
"Easton","0900123890",2015,"DECD PILOT Grant",0
"Easton","0900123890",2015,"LoCIP",66516
"Easton","0900123890",2015,"Town Aid Road",227805
"Easton","0900123890",2014,"Total",403906.73
"Easton","0900123890",2015,"Total",407820.85
"Fairfield","0900126620",2014,"Colleges & Hospitals PILOT",2409013.26
"Fairfield","0900126620",2014,"Elderly Circuit Breaker",469508.19
"Fairfield","0900126620",2014,"State Property PILOT",31989.36
"Fairfield","0900126620",2014,"Veterans' Exemption",170334.51
"Fairfield","0900126620",2014,"Disability Exemption",4074.04
"Fairfield","0900126620",2014,"Pequot Grants",286874.78
"Fairfield","0900126620",2014,"Elderly Freeze",6000
"Fairfield","0900126620",2014,"DECD Tax Abatement",0
"Fairfield","0900126620",2014,"DECD PILOT Grant",0
"Fairfield","0900126620",2014,"LoCIP",373921
"Fairfield","0900126620",2014,"Town Aid Road",709718.88
"Fairfield","0900126620",2015,"Colleges & Hospitals PILOT",2641400.57
"Fairfield","0900126620",2015,"Elderly Circuit Breaker",445900.34
"Fairfield","0900126620",2015,"State Property PILOT",35231.01
"Fairfield","0900126620",2015,"Veterans' Exemption",149218
"Fairfield","0900126620",2015,"Disability Exemption",3956.33
"Fairfield","0900126620",2015,"Pequot Grants",292352.82
"Fairfield","0900126620",2015,"Elderly Freeze",2000
"Fairfield","0900126620",2015,"DECD Tax Abatement",0
"Fairfield","0900126620",2015,"DECD PILOT Grant",0
"Fairfield","0900126620",2015,"LoCIP",370404
"Fairfield","0900126620",2015,"Town Aid Road",711140
"Fairfield","0900126620",2014,"Total",4461434.02
"Fairfield","0900126620",2015,"Total",4651603.07
"Greenwich","0900133620",2014,"Colleges & Hospitals PILOT",849790.69
"Greenwich","0900133620",2014,"Elderly Circuit Breaker",179595.65
"Greenwich","0900133620",2014,"State Property PILOT",23319.7
"Greenwich","0900133620",2014,"Veterans' Exemption",28827.01
"Greenwich","0900133620",2014,"Disability Exemption",315.19
"Greenwich","0900133620",2014,"Pequot Grants",97988.8
"Greenwich","0900133620",2014,"Elderly Freeze",4000
"Greenwich","0900133620",2014,"DECD Tax Abatement",0
"Greenwich","0900133620",2014,"DECD PILOT Grant",98760
"Greenwich","0900133620",2014,"LoCIP",319596
"Greenwich","0900133620",2014,"Town Aid Road",746314.71
"Greenwich","0900133620",2015,"Colleges & Hospitals PILOT",897964.82
"Greenwich","0900133620",2015,"Elderly Circuit Breaker",179253.82
"Greenwich","0900133620",2015,"State Property PILOT",25772.38
"Greenwich","0900133620",2015,"Veterans' Exemption",32177.39
"Greenwich","0900133620",2015,"Disability Exemption",299.21
"Greenwich","0900133620",2015,"Pequot Grants",98189.28
"Greenwich","0900133620",2015,"Elderly Freeze",2000
"Greenwich","0900133620",2015,"DECD Tax Abatement",0
"Greenwich","0900133620",2015,"DECD PILOT Grant",100286
"Greenwich","0900133620",2015,"LoCIP",319795
"Greenwich","0900133620",2015,"Town Aid Road",747652
"Greenwich","0900133620",2014,"Total",2348507.75
"Greenwich","0900133620",2015,"Total",2403389.9
"Monroe","0900148620",2014,"Colleges & Hospitals PILOT",0
"Monroe","0900148620",2014,"Elderly Circuit Breaker",171203.9
"Monroe","0900148620",2014,"State Property PILOT",10691.66
"Monroe","0900148620",2014,"Veterans' Exemption",11004.4
"Monroe","0900148620",2014,"Disability Exemption",2331.01
"Monroe","0900148620",2014,"Pequot Grants",32426.26
"Monroe","0900148620",2014,"Elderly Freeze",0
"Monroe","0900148620",2014,"DECD Tax Abatement",0
"Monroe","0900148620",2014,"DECD PILOT Grant",0
"Monroe","0900148620",2014,"LoCIP",136429
"Monroe","0900148620",2014,"Town Aid Road",351092.74
"Monroe","0900148620",2015,"Colleges & Hospitals PILOT",0
"Monroe","0900148620",2015,"Elderly Circuit Breaker",179817.85
"Monroe","0900148620",2015,"State Property PILOT",11951.5
"Monroe","0900148620",2015,"Veterans' Exemption",10479.93
"Monroe","0900148620",2015,"Disability Exemption",2306.91
"Monroe","0900148620",2015,"Pequot Grants",35496.72
"Monroe","0900148620",2015,"Elderly Freeze",0
"Monroe","0900148620",2015,"DECD Tax Abatement",0
"Monroe","0900148620",2015,"DECD PILOT Grant",0
"Monroe","0900148620",2015,"LoCIP",134631
"Monroe","0900148620",2015,"Town Aid Road",351766
"Monroe","0900148620",2014,"Total",715178.97
"Monroe","0900148620",2015,"Total",726449.91
"New Canaan","0900150580",2014,"Colleges & Hospitals PILOT",0
"New Canaan","0900150580",2014,"Elderly Circuit Breaker",29300.89
"New Canaan","0900150580",2014,"State Property PILOT",42306.05
"New Canaan","0900150580",2014,"Veterans' Exemption",1338.76
"New Canaan","0900150580",2014,"Disability Exemption",154.26
"New Canaan","0900150580",2014,"Pequot Grants",7291.6
"New Canaan","0900150580",2014,"Elderly Freeze",0
"New Canaan","0900150580",2014,"DECD Tax Abatement",0
"New Canaan","0900150580",2014,"DECD PILOT Grant",0
"New Canaan","0900150580",2014,"LoCIP",115796
"New Canaan","0900150580",2014,"Town Aid Road",330353.25
