"Town","FIPS","Year","Indicator","Measure Type","Variable","Value"
"Bridgeport","0900108070",2005,"Total Eligible","Percent","Birth to Three Indicators",9.02
"Bridgeport","0900108070",2006,"Total Eligible","Percent","Birth to Three Indicators",10
"Bridgeport","0900108070",2007,"Total Eligible","Percent","Birth to Three Indicators",10.27
"Bridgeport","0900108070",2008,"Total Eligible","Percent","Birth to Three Indicators",11.3
"Bridgeport","0900108070",2009,"Total Eligible","Percent","Birth to Three Indicators",11.48
"Bridgeport","0900108070",2010,"Total Eligible","Percent","Birth to Three Indicators",10.98
"Bridgeport","0900108070",2011,"Total Eligible","Percent","Birth to Three Indicators",11.32
"Bridgeport","0900108070",2012,"Total Eligible","Percent","Birth to Three Indicators",12.05
"Hartford","0900337070",2005,"Total Eligible","Percent","Birth to Three Indicators",12.62
"Hartford","0900337070",2006,"Total Eligible","Percent","Birth to Three Indicators",13.67
"Hartford","0900337070",2007,"Total Eligible","Percent","Birth to Three Indicators",13.92
"Hartford","0900337070",2008,"Total Eligible","Percent","Birth to Three Indicators",14.6
"Hartford","0900337070",2009,"Total Eligible","Percent","Birth to Three Indicators",14.21
"Hartford","0900337070",2010,"Total Eligible","Percent","Birth to Three Indicators",15.77
"Hartford","0900337070",2011,"Total Eligible","Percent","Birth to Three Indicators",15.3
"Hartford","0900337070",2012,"Total Eligible","Percent","Birth to Three Indicators",15.35
"New Haven","0900952070",2005,"Total Eligible","Percent","Birth to Three Indicators",8.29
"New Haven","0900952070",2006,"Total Eligible","Percent","Birth to Three Indicators",9.32
"New Haven","0900952070",2007,"Total Eligible","Percent","Birth to Three Indicators",9.16
"New Haven","0900952070",2008,"Total Eligible","Percent","Birth to Three Indicators",8.83
"New Haven","0900952070",2009,"Total Eligible","Percent","Birth to Three Indicators",10.81
"New Haven","0900952070",2010,"Total Eligible","Percent","Birth to Three Indicators",11.54
"New Haven","0900952070",2011,"Total Eligible","Percent","Birth to Three Indicators",11.1
"New Haven","0900952070",2012,"Total Eligible","Percent","Birth to Three Indicators",13.58
"Stamford","0900173070",2005,"Total Eligible","Percent","Birth to Three Indicators",8.5
"Stamford","0900173070",2006,"Total Eligible","Percent","Birth to Three Indicators",8.68
"Stamford","0900173070",2007,"Total Eligible","Percent","Birth to Three Indicators",8.26
"Stamford","0900173070",2008,"Total Eligible","Percent","Birth to Three Indicators",9.96
"Stamford","0900173070",2009,"Total Eligible","Percent","Birth to Three Indicators",10.91
"Stamford","0900173070",2010,"Total Eligible","Percent","Birth to Three Indicators",10.4
"Stamford","0900173070",2011,"Total Eligible","Percent","Birth to Three Indicators",9.86
"Stamford","0900173070",2012,"Total Eligible","Percent","Birth to Three Indicators",11.96
"Waterbury","0900980070",2005,"Total Eligible","Percent","Birth to Three Indicators",10.35
"Waterbury","0900980070",2006,"Total Eligible","Percent","Birth to Three Indicators",13.39
"Waterbury","0900980070",2007,"Total Eligible","Percent","Birth to Three Indicators",10.89
"Waterbury","0900980070",2008,"Total Eligible","Percent","Birth to Three Indicators",11.74
"Waterbury","0900980070",2009,"Total Eligible","Percent","Birth to Three Indicators",11.32
"Waterbury","0900980070",2010,"Total Eligible","Percent","Birth to Three Indicators",13.67
"Waterbury","0900980070",2011,"Total Eligible","Percent","Birth to Three Indicators",13.1
"Waterbury","0900980070",2012,"Total Eligible","Percent","Birth to Three Indicators",13.54
