"Municipality","Planning Region","Rank","Municipal Gap($ per capita)","ENGL AAGR '11-'14"
"Greenwich","Western CT",1,5110,1.30729834778649
"Darien","Western CT",2,3782,2.25357304175308
"New Canaan","Western CT",3,3703,1.81317360174654
"Westport","Western CT",4,3622,0.308293533027738
"Washington","Northwest Hills",5,3100,-2.79185305609584
"Roxbury","Northwest Hills",6,2679,0.962324446447744
"Salisbury","Northwest Hills",7,2531,1.16552787235103
"Cornwall","Northwest Hills",8,2159,-3.55890427227297
"Lyme","Lower CT River Valley",9,2147,-6.19382133306108
"Sharon","Northwest Hills",10,1952,1.09794015726891
"Weston","Western CT",11,1908,0.70681584088879
"Bridgewater","Western CT",12,1800,-2.36594196734755
"Wilton","Western CT",13,1791,-1.21205137911158
"Warren","Northwest Hills",14,1734,2.92385036819012
"Old Lyme","Lower CT River Valley",15,1698,-0.787173390792481
"Old Saybrook","Lower CT River Valley",16,1647,-1.72871178097135
"Sherman","Western CT",17,1385,-1.66981197935206
"Ridgefield","Western CT",18,1350,-2.90798093924623
"Kent","Northwest Hills",19,1334,-5.71289049855137
"Goshen","Northwest Hills",20,1328,-2.40622052086726
"Westbrook","Lower CT River Valley",21,1183,-4.45236417443431
"Madison","South Central",22,1145,-0.857662069291989
"Easton","Greater Bridgeport",23,1132,-1.33528015188435
"Redding","Western CT",24,1096,-1.47290753552823
"Waterford","Southeastern CT",25,1073,-2.49627753243716
"Essex","Lower CT River Valley",26,1063,-2.79380063951814
"Norfolk","Northwest Hills",27,1006,0.434418768918863
"Fairfield","Greater Bridgeport",28,885,3.00840157276809
"Stonington","Southeastern CT",29,875,-3.19899720775649
"Morris","Northwest Hills",30,842,-2.96654887567337
"Canaan","Northwest Hills",31,805,-1.32709096665789
"Brookfield","Western CT",32,658,-1.19198199818338
"Stamford","Western CT",33,643,-3.32653270920129
"Guilford","South Central",34,641,-0.121830087104834
"Avon","Capitol Region",35,631,-0.413824721084204
"Farmington","Capitol Region",36,517,-1.62156643453695
"Litchfield","Northwest Hills",37,497,-2.5428028601365
"Woodbridge","South Central",38,467,0.0373119178882871
"Woodbury","Naugatuck Valley",39,379,-2.75282919819643
"Middlebury","Naugatuck Valley",40,357,-1.80583267497033
"New Fairfield","Western CT",41,353,-2.11949121947444
"Killingworth","Lower CT River Valley",42,350,-1.95838689949012
"Clinton","Lower CT River Valley",43,334,-1.17320378503528
"East Lyme","Southeastern CT",44,321,-2.3537408128898
"Branford","South Central",45,319,0.620993222204926
"Norwalk","Western CT",46,318,-1.52368681039639
"Glastonbury","Capitol Region",47,317,-2.09104298816205
"Deep River","Lower CT River Valley",48,296,-1.41973818596439
"Colebrook","Northwest Hills",49,292,-1.89877892141312
"Haddam","Lower CT River Valley",50,291,-3.00447854009512
"Newtown","Western CT",51,289,-3.13515878468948
"Trumbull","Greater Bridgeport",52,281,0.8222263664514
"East Granby","Capitol Region",53,266,-1.02401681639866
"Bethlehem","Naugatuck Valley",54,265,-1.55748920432936
"North Haven","South Central",55,254,-2.77818150900733
"Orange","South Central",56,247,5.3053212805813
"North Stonington","Southeastern CT",57,245,-2.67562705630629
"Durham","Lower CT River Valley",58,231,-2.4579787764738
"Canton","Capitol Region",59,227,-0.65551496765665
"Simsbury","Capitol Region",60,211,-4.8991454789249
"Monroe","Greater Bridgeport",61,210,-0.675717252132001
"Berlin","Capitol Region",62,207,-1.95840423464869
"Chester","Lower CT River Valley",63,193,1.16140096502069
"Bethany","South Central",64,183,-1.89576441559977
"New Milford","Western CT",65,178,-2.78121487241429
"Harwinton","Northwest Hills",66,144,-2.22040485517209
"Oxford","Naugatuck Valley",67,142,-0.413928366392355
"East Haddam","Lower CT River Valley",68,139,-3.90732857714482
"Burlington","Northwest Hills",69,138,0.0953522446597345
"Shelton","Naugatuck Valley",70,128,-1.69361468739079
"Southbury","Naugatuck Valley",71,124,-1.87171648398515
"Cheshire","Naugatuck Valley",72,112,-1.38442039325641
"New Hartford","Northwest Hills",73,110,-0.876005466918324
